user,text,location,latitude,longitude
nirgalagrin,b'Happiness is a blank log sheet... And being allowed to walk somewhere other than your own postcode.\n\n#gogeocaching? https://t.co/xEZ7BIWcg8',"Melbourne, Victoria",-37.51153,145.11813
frankiezammit,"b'Autumn Sunrise, nice walk this morning. #BreathAndLive #Nature #Sunrise #Autumn #NoFilters #AllNatural? https://t.co/aKr1tdSHNg'","Melbourne, Australia",-37.736,144.7403
Daymeaux,"b'Take away! #NandosFriday on Thursday (at @NandosAus in Footscray, VIC) https://t.co/WUuDEr4B5Y https://t.co/H3hQgbJF2y'",Melbourne - most of the time!,-37.79924628,144.89589233
SOTAwatch,"b'01:59 VK3EQ/P (Rik) on VK3/VC-029 (Briarty Hill, 424m, 1 pt) 7.080 SSB: CQ CQ Also VKFF-2224 [VK3PF]'",,-37.73134,145.4759
spendthriftpark,"b""Even the controls on the tractor are awesome. In times like these, who doesn't like travelling at the speed of tort? https://t.co/kpiNw2DRid""","Werribee, Melbourne",-37.90633383,144.64211226
ianp68,b'#postrun #lovegoodbreakfast with @Lorenp69 ?? #grateful that we are family who does not waste and always makes use? https://t.co/GwO9avvyj3',"Melbourne, Australia",-37.87581418,145.03405466
SOTAwatch,"b'01:47 VK3EQ/P (Rik) on VK3/VC-029 (Briarty Hill, 424m, 1 pt) 3.610 SSB: CQ CQ Also VKFF-2224 [VK3PF]'",,-37.73134,145.4759
maudeve,b'#thursday #rideandwalk #localparks #hedwig #coburg #locallife #cityifmoreland @ Coburg Lake https://t.co/YsxZErwG4T',every where,-37.73409453,144.9691456
MaAlejaOviedo,"b'O T O ? O ??  #autumnvibes?  #aussielife @ Melbourne, Victoria, Australia https://t.co/FGT8kmPIHJ'","Melbourne, Victoria",-37.8156,144.9661
RajeshwarMathur,b'China Town.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.#Memories \n#Photography \n#Canon6D\n#ShotonCanon\n#AustraliaTourism\n#Everydaylife? https://t.co/h2GWWuSYli',"Gurgaon, Haryana, India",-37.81232094,144.96595798
